Primary,Backup Started,0
Primary,Backup Unresponsive,0
Primary,Backup Started,0
Primary,Backup Unresponsive,0
Primary,Backup Started,0
Primary,Backup Started,0
Primary,Backup Unresponsive,0
Primary,Backup Started,0
Primary,Backup Unresponsive,0
Primary,Backup Started,0
Primary,Backup Unresponsive,0
Primary,Backup Started,0
Primary,Backup Started,0
Primary,Backup Unresponsive,0
Primary,Backup Started,0
Primary,Backup Started,0
Primary,Backup Unresponsive,0
Primary,Backup Started,0
Primary,Backup Started,0
Primary,Backup Unresponsive,0
Primary,Backup Started,0
Primary,Backup Unresponsive,0
Primary,Backup Started,0
Primary,Backup Started,0
Primary,Counting,1
Backup,Received,1
Primary,Counting,2
Backup,Received,2
Primary,Counting,3
Backup,Received,3
Primary,Counting,4
Backup,Received,4
Primary,Counting,5
Backup,Received,5
Primary,Counting,6
Backup,Received,6
Primary,Counting,7
Backup,Received,7
Primary,Counting,8
Backup,Received,8
Primary,Backup Unresponsive,0
Primary,Backup Started,0
PrimaryBackup,Counting,,Received9,
9
Primary,Counting,10
Backup,Received,10
Primary,Backup Unresponsive,0
Primary,Backup Started,0
Primary,BackupCounting,,Received11,
11
Primary,CountingBackup,,12Received
,12
PrimaryBackup,,CountingReceived,,13
13
Primary,Counting,14
Backup,Received,14
Primary,Counting,Backup15,
Received,15
PrimaryBackup,,CountingReceived,,1616

Primary,Backup Started,0
PrimaryBackup,Counting,,Received1,
1
Primary,Counting,2
Backup,Received,2
Primary,Counting,3
Backup,Received,3
Primary,Counting,4
Backup,Received,4
Primary,Counting,5
Backup,Received,5
Primary,Counting,6
Backup,Received,6
Primary,Counting,7
Backup,Received,7
Primary,Counting,8
Backup,Received,8
Primary,Counting,9
Backup,Received,9
Primary,Counting,10
Backup,Received,10
Primary,Counting,11
Backup,Received,11
Primary,Counting,12
Backup,Received,12
Primary,Counting,13
Backup,Received,13
Primary,Counting,14
Backup,Received,14
Primary,Counting,15
Backup,Received,15
Primary,Counting,16
Backup,Received,16
Primary,Counting,17
Backup,Received,17
Primary,Counting,18
Backup,Received,18
Primary,Counting,19
Backup,Received,19
Primary,Counting,20
Backup,Received,20
Primary,Counting,21
Backup,Received,21
Primary,Counting,22
Backup,Received,22
Primary,Counting,23
Backup,Received,23
Primary,Counting,24
Backup,Received,24
Primary,Counting,25
Backup,Received,25
Primary,Counting,26
Backup,Received,26
Primary,Counting,27
Backup,Received,27
Primary,Counting,28
Backup,Received,28
Primary,Counting,29
Backup,Received,29
Primary,Counting,30
Backup,Received,30
Primary,Counting,31
Backup,Received,31
Primary,Counting,32
Backup,Received,32
Primary,Counting,33
Backup,Received,33
Primary,Counting,34
Backup,Received,34
Primary,Counting,35
Backup,Received,35
Primary,Counting,36
Backup,Received,36
Primary,Counting,37
Backup,Received,37
Primary,Counting,38
Backup,Received,38
